Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
Canales,lam,36,0.446,0.282,3.19,0.167,0.639,0.401,0.50,0.364,1.42,0.237,69.280
Odriozola,lb,35,0.481,0.269,6.51,1.029,0.629,0.563,0.11,0.421,3.60,0.286,71.781
G. Cabral,lcb,26,0.580,0.635,5.46,2.308,0.654,0.685,0.46,0.444,4.50,0.719,72.498
Jozabed,rcm,24,0.465,0.429,3.50,0.500,0.750,0.370,0.17,0.526,2.42,0.385,66.554
Sergio Álvarez,gk,17,0.353,0.600,0.12,0.824,0.000,0.000,0.06,0.438,1.82,0.400,61.787
Maxi Gómez,st,38,0.405,0.470,1.55,0.500,1.579,0.000,0.13,0.400,1.16,0.182,66.373
P. Sisto,ram,38,0.430,0.333,3.76,0.053,0.500,0.342,0.05,0.353,1.50,0.227,68.800
D. Wass,lam,35,0.468,0.540,3.11,0.914,0.771,0.396,0.43,0.400,3.80,0.231,70.394
Zurutuza,rcm,31,0.449,0.509,6.48,0.355,1.419,0.486,0.45,0.517,3.68,0.417,70.952
N. Radoja,cm,26,0.400,0.569,2.12,0.231,0.462,0.142,0.04,0.375,1.46,0.300,64.372
C. Vela,ls,17,0.481,0.455,2.29,0.000,0.471,0.494,0.24,0.421,0.29,0.304,64.289
P. Hernández,cm,30,0.396,0.621,5.13,1.167,1.600,0.230,0.27,0.348,4.50,0.375,68.012
Juanmi,rw,30,0.409,0.389,2.60,0.100,0.767,0.179,0.73,0.405,1.00,0.323,67.025
S. Lobotka,cm,38,0.485,0.533,6.55,0.342,1.105,0.480,0.08,0.389,3.97,0.545,72.635
Agirretxe,st,11,0.333,0.529,0.55,0.182,0.091,0.000,0.09,0.375,0.27,0.368,60.853
A. Hjulsager,lam,2,0.333,0.400,1.50,0.000,0.000,0.000,0.00,0.400,0.50,0.400,62.627
F. Fajr,cm,33,0.395,0.551,5.91,0.667,1.545,0.235,0.91,0.422,3.33,0.600,71.013
G. Shibasaki,cm,26,0.378,0.343,4.00,0.654,1.346,0.126,0.88,0.395,2.00,0.469,66.519
Juan Cala,rcb,20,0.518,0.619,6.10,3.600,1.700,0.590,0.15,0.389,6.10,0.677,69.035
San José,cm,26,0.467,0.570,8.08,0.962,1.500,0.603,0.58,0.433,5.19,0.485,71.261
Jorge Molina,st,36,0.387,0.497,2.67,0.611,1.583,0.128,0.22,0.348,1.75,0.114,66.741
Beñat,cm,24,0.412,0.464,4.33,0.375,0.667,0.259,0.12,0.389,2.38,0.476,65.646
Molinero,lcb,10,0.433,0.500,5.20,1.900,1.900,0.246,0.30,0.389,3.50,0.400,63.969
Unai Núñez,lb,33,0.636,0.693,7.03,3.061,1.273,0.700,1.09,0.627,6.21,0.833,79.543
Susaeta,cam,34,0.418,0.364,4.91,0.265,0.618,0.384,0.32,0.385,2.12,0.348,69.330
Balenziaga,rb,18,0.461,0.549,8.44,2.000,1.167,0.570,0.00,0.400,5.61,0.500,67.990
De Marcos,lb,21,0.500,0.560,6.14,0.905,0.810,0.562,0.29,0.381,3.71,0.591,68.326
Iñaki Williams,ls,38,0.383,0.463,3.66,0.158,0.816,0.158,0.16,0.476,1.50,0.237,68.635
Markel Bergara,lcm,18,0.396,0.583,6.89,0.944,1.889,0.528,0.44,0.478,4.56,0.500,66.858
Muniain,st,14,0.393,0.417,2.93,0.143,0.429,0.165,0.00,0.400,0.79,0.438,62.270
Guaita,gk,33,0.400,0.630,0.00,0.333,0.030,1.000,0.00,0.400,1.88,0.400,67.780
A. Ndiaye,rs,37,0.452,0.351,7.43,0.459,2.000,0.640,0.76,0.372,2.70,0.265,73.197
Djené,lb,36,0.611,0.606,7.86,3.222,1.417,0.711,0.81,0.455,6.50,0.763,79.197
D. Suárez,lb,33,0.534,0.451,8.45,1.636,1.788,0.598,0.12,0.421,5.03,0.611,73.421
Álvaro Jiménez,lam,13,0.373,0.359,4.62,0.077,1.154,0.525,0.08,0.375,0.92,0.320,62.886
Arrizabalaga,gk,30,0.421,0.630,0.13,0.267,0.133,0.000,0.00,0.400,1.20,0.375,64.571
Raúl García,cam,34,0.416,0.652,6.91,0.559,2.382,0.453,0.85,0.432,3.29,0.361,72.125
Lekue,lb,32,0.538,0.500,5.62,1.188,0.750,0.480,0.50,0.387,3.34,0.414,72.275
Sergio Mora,cm,25,0.550,0.512,2.60,0.360,0.520,0.370,0.44,0.423,2.44,0.550,67.962
Ángel,st,33,0.484,0.276,3.24,0.364,1.515,0.310,0.39,0.321,1.42,0.303,67.698
M. Arambarri,cm,27,0.424,0.410,7.74,0.778,1.926,0.533,0.63,0.438,3.89,0.483,70.001
Iñigo Córdoba,ram,30,0.441,0.414,5.17,0.433,0.700,0.421,0.43,0.500,2.47,0.444,69.648
C. Stuani,st,35,0.390,0.501,2.94,0.600,2.657,0.241,0.20,0.409,1.40,0.191,66.421
Álex Granell,rcm,34,0.412,0.524,9.12,0.500,2.118,0.565,0.09,0.389,4.74,0.455,71.529
Pedro Alcalá,lb,8,0.405,0.593,3.38,3.250,1.500,0.000,1.00,0.348,6.25,0.438,64.404
Muniesa,rb,14,0.592,0.544,7.86,1.714,0.786,0.703,0.79,0.423,7.00,0.600,69.804
J. Giménez,lb,27,0.556,0.692,5.04,2.741,0.815,0.456,0.37,0.440,5.07,0.676,71.827
Borja García,ram,37,0.463,0.386,3.57,0.297,0.730,0.429,0.35,0.429,2.78,0.250,70.449
Pere Pons,lcm,31,0.423,0.416,8.35,0.484,1.871,0.537,0.32,0.440,3.84,0.529,70.816
Aday,rb,31,0.440,0.675,4.06,0.839,1.290,0.270,0.13,0.368,2.45,0.536,68.112
Bernardo Espinosa,lcb,34,0.581,0.707,5.18,2.912,1.206,0.500,0.26,0.375,6.03,0.755,74.274
Saúl,rcm,36,0.500,0.523,9.19,1.278,1.917,0.668,0.50,0.545,5.97,0.468,76.166
Fernando Torres,st,27,0.373,0.518,1.33,0.185,0.667,0.000,0.04,0.438,0.67,0.250,63.369
L. Hernández,rb,34,0.555,0.704,8.62,1.618,1.265,0.662,1.18,0.582,4.44,0.645,78.760
Pablo Maffeo,lb,33,0.494,0.617,7.27,1.333,0.970,0.506,0.70,0.447,5.03,0.542,74.380
Gabi,lcm,34,0.458,0.531,7.65,0.706,1.441,0.542,0.26,0.500,3.94,0.605,72.723
J. Oblak,gk,37,0.389,0.583,0.08,0.189,0.054,0.000,0.00,0.400,0.76,0.400,65.915
Portu,lam,37,0.435,0.239,4.19,0.027,1.486,0.388,0.24,0.542,1.11,0.170,69.244
S. Savić,lb,27,0.532,0.705,5.30,3.407,0.852,0.577,0.41,0.500,5.37,0.778,72.717
Iraizoz,gk,9,0.444,0.412,0.33,0.444,0.111,0.529,0.00,0.400,2.44,0.400,62.447
Á. Correa,ls,37,0.355,0.315,4.16,0.324,1.297,0.098,0.24,0.333,2.38,0.212,67.157
N. Gaitán,ram,6,0.406,0.387,2.83,0.000,0.167,0.000,0.17,0.375,1.50,0.400,62.526
L. Vietto,st,20,0.389,0.344,1.95,0.200,0.550,0.000,0.10,0.412,1.15,0.304,62.272
Carles Planas,rb,5,0.469,0.500,3.40,0.400,0.200,0.323,0.20,0.438,2.20,0.500,63.802
O. Kayode,st,12,0.364,0.361,1.50,0.000,0.917,0.000,0.00,0.400,0.75,0.333,60.670
Léo Baptistão,ls,36,0.457,0.469,4.81,0.500,1.417,0.459,0.42,0.467,1.97,0.211,70.955
David López,lb,37,0.560,0.627,6.35,2.622,1.243,0.599,0.24,0.500,6.16,0.682,76.125
C. Lenglet,rb,35,0.608,0.654,7.51,2.514,1.543,0.722,0.29,0.520,4.97,0.711,76.926
P. Diop,lcm,20,0.409,0.589,5.00,0.500,1.650,0.287,0.70,0.379,3.25,0.520,66.148
David Soria,gk,15,0.400,0.565,0.00,0.533,0.067,1.000,0.07,0.375,1.73,0.400,63.432
S. N'Zonzi,cm,32,0.454,0.778,3.25,0.781,1.000,0.247,0.09,0.444,3.88,0.524,68.867
S. Corchia,lb,12,0.457,0.636,6.58,1.083,1.583,0.598,0.17,0.412,4.42,0.545,65.587
S. Kjær,lcb,24,0.622,0.576,5.54,3.583,0.875,0.585,0.21,0.350,4.92,0.654,71.439
P. Piatti,rw,30,0.426,0.427,5.13,0.233,1.100,0.385,0.27,0.435,2.40,0.364,68.266
Aarón,rb,32,0.504,0.483,7.47,1.500,1.000,0.636,0.56,0.485,5.00,0.641,74.185
Sergio Rico,gk,24,0.316,0.757,0.17,0.167,0.125,0.000,0.00,0.400,1.17,0.400,62.219
Javi Fuego,cm,28,0.468,0.573,6.25,0.750,1.286,0.595,0.57,0.387,3.75,0.500,70.608
Gerard Moreno,ls,38,0.435,0.476,4.26,1.026,1.474,0.408,0.29,0.308,2.53,0.232,70.128
Borja Lasso,cm,1,0.409,0.375,7.00,0.000,2.000,1.000,0.00,0.400,3.00,0.400,64.254
L. Muriel,rs,31,0.467,0.440,2.42,0.032,0.935,0.321,0.35,0.538,0.81,0.195,67.744
Jurado,cam,29,0.405,0.391,2.03,0.103,0.241,0.051,0.07,0.412,1.24,0.269,64.756
Javi López,lb,14,0.540,0.564,7.79,2.143,1.500,0.729,1.50,0.361,3.71,0.625,70.082
Ganso,cm,8,0.446,0.364,5.12,0.375,0.500,0.351,0.50,0.368,2.25,0.389,64.088
Jesús Navas,lam,26,0.519,0.436,4.54,1.269,0.654,0.455,0.15,0.368,3.04,0.478,68.426
Pau López,gk,29,0.375,0.593,0.03,0.414,0.069,1.000,0.00,0.400,1.48,0.400,66.213
Pablo Sarabia,cam,34,0.400,0.382,5.59,0.647,1.382,0.368,0.59,0.429,3.12,0.216,70.106
Naldo,rcb,11,0.517,0.547,4.09,3.455,0.636,0.539,0.45,0.450,6.09,0.550,66.539
É. Banega,cm,34,0.454,0.388,5.91,0.500,1.412,0.500,1.62,0.386,2.47,0.500,73.924
Granero,cm,25,0.423,0.417,4.60,0.560,0.720,0.379,0.32,0.348,2.56,0.538,66.766
G. Pizarro,cm,24,0.491,0.625,8.38,1.042,2.167,0.610,1.50,0.451,4.38,0.500,72.961
H. Pérez,lam,14,0.405,0.524,4.57,0.071,0.857,0.140,0.07,0.375,1.36,0.381,63.058
Charles,st,30,0.375,0.511,1.37,0.133,1.467,0.000,0.30,0.417,0.73,0.310,64.212
Dani García,rcm,32,0.434,0.586,6.59,0.594,1.688,0.557,1.16,0.462,6.41,0.577,73.493
José Ángel,rb,30,0.521,0.591,5.77,2.300,0.633,0.487,0.67,0.514,4.97,0.531,73.545
Luis Hernández,lb,36,0.551,0.577,5.53,2.944,1.194,0.559,0.39,0.483,6.56,0.786,75.548
Z. Kuzmanović,lcm,8,0.410,0.500,3.00,0.625,1.000,0.000,0.38,0.389,1.75,0.438,62.695
R. Rosales,lb,35,0.503,0.616,9.11,1.771,1.371,0.644,0.80,0.419,5.46,0.568,76.861
Borja Bastón,st,20,0.436,0.457,2.00,0.250,0.800,0.173,0.25,0.400,0.65,0.207,63.470
Ramis,lcb,16,0.611,0.652,5.00,1.625,0.812,0.629,0.06,0.438,4.81,0.645,67.912
Juanpi,cam,16,0.432,0.286,1.81,0.000,0.312,0.000,0.06,0.438,1.12,0.348,62.030
T. Inui,ram,38,0.442,0.304,4.79,0.263,1.053,0.407,0.29,0.346,2.37,0.333,70.203
Ander Capa,lb,33,0.480,0.631,5.48,1.333,1.061,0.535,0.12,0.421,4.21,0.634,71.519
Adrián,rcm,29,0.405,0.522,5.10,0.966,1.621,0.404,0.79,0.447,4.03,0.500,69.639
Paulo Oliveira,lb,26,0.614,0.663,5.50,2.885,0.615,0.665,0.58,0.567,7.00,0.762,74.291
Joan Jordán,cam,35,0.420,0.489,5.49,0.229,1.029,0.352,0.60,0.389,2.69,0.485,70.890
Recio,cm,22,0.408,0.532,7.68,0.591,2.000,0.560,1.27,0.395,4.23,0.304,69.678
Kike García,st,35,0.462,0.441,2.54,0.314,1.286,0.295,0.14,0.300,1.57,0.123,67.242
Roberto,gk,34,0.438,0.667,0.03,0.353,0.029,1.000,0.00,0.400,1.41,0.400,68.632
Rubén Peña,lam,28,0.484,0.407,5.14,0.750,0.571,0.511,0.18,0.350,3.14,0.407,68.777
Juankar,rb,10,0.532,0.436,6.20,1.800,0.900,0.508,0.70,0.409,4.70,0.522,66.508
Diego González,rb,18,0.506,0.604,8.28,2.611,1.500,0.528,0.50,0.458,6.00,0.615,69.800
M. Dmitrović,gk,36,0.393,0.714,0.36,0.667,0.028,0.051,0.17,0.429,2.28,0.438,67.380
Iván Alejo,lam,22,0.407,0.468,3.45,0.000,1.227,0.451,0.09,0.353,1.32,0.320,64.173
Javi Ontiveros,lam,12,0.500,0.576,2.75,0.167,0.750,0.321,0.17,0.353,1.00,0.375,63.479
Jony,ram,5,0.458,0.412,1.80,0.000,0.400,0.000,0.00,0.400,0.20,0.400,62.544
Sergi Enrich,st,19,0.474,0.476,3.21,0.263,1.053,0.138,0.21,0.421,1.58,0.273,64.200
Y. En-Nesyri,rs,26,0.505,0.477,3.69,0.808,1.269,0.485,0.35,0.500,1.62,0.220,68.025
Christian Rivera,cm,7,0.452,0.476,3.86,0.429,0.429,0.511,0.71,0.400,2.14,0.438,64.416
L. Messi,ls,40,0.474,0.333,2.00,0.000,0.575,0.165,0.12,0.500,1.23,0.143,69.115
Nélson Semedo,lb,23,0.555,0.545,5.30,0.870,0.522,0.467,0.35,0.522,2.57,0.571,69.560
J. Mascherano,lcb,11,0.495,0.550,6.91,2.000,2.182,0.564,1.55,0.531,4.09,0.538,68.170
Sergi Roberto,lb,30,0.555,0.483,6.47,0.467,0.533,0.506,0.30,0.375,3.73,0.643,71.732
J. Narváez,lcm,7,0.467,0.385,4.29,0.000,0.429,0.355,0.29,0.412,1.57,0.381,63.678
Barragán,lb,29,0.463,0.644,6.03,1.241,1.724,0.556,0.48,0.517,3.83,0.625,71.180
Paco Alcácer,st,17,0.444,0.350,1.24,0.118,0.118,0.000,0.24,0.474,1.35,0.280,62.744
Adán,gk,30,0.368,0.690,0.13,0.467,0.167,0.000,0.07,0.353,1.30,0.400,64.149
Z. Feddal,rb,15,0.545,0.675,6.47,4.467,1.467,0.461,0.73,0.500,6.80,0.743,69.797
A. Mandi,lb,34,0.549,0.576,5.56,2.588,1.029,0.562,1.32,0.500,5.24,0.827,77.176
Matías Nahuel,lam,7,0.421,0.364,3.29,0.000,1.000,0.670,0.14,0.375,2.00,0.333,63.061
Sergio León,st,31,0.441,0.382,1.71,0.032,0.839,0.080,0.10,0.389,0.81,0.231,65.060
Víctor Camarasa,cm,24,0.530,0.500,3.54,0.208,0.667,0.427,0.25,0.381,1.67,0.303,67.051
A. Guardado,cm,33,0.438,0.446,5.70,0.455,1.030,0.497,0.67,0.486,2.94,0.476,71.585
M. ter Stegen,gk,37,0.450,0.591,0.14,0.297,0.027,0.087,0.00,0.400,1.59,0.400,67.183
Joaquín,cam,35,0.525,0.384,2.94,0.743,0.714,0.382,0.14,0.400,2.17,0.308,69.641
Javi García,cdm,32,0.475,0.634,4.53,1.500,1.125,0.507,0.28,0.542,3.56,0.618,71.384
Francis Guerrero,lw,14,0.467,0.469,7.50,1.214,1.143,0.543,0.86,0.519,4.14,0.400,67.850
Aleix Vidal,lam,15,0.481,0.357,2.60,0.267,0.133,0.458,0.13,0.412,1.47,0.353,63.983
Fabián,lcm,34,0.517,0.618,6.56,0.882,0.765,0.590,0.15,0.400,4.09,0.346,72.823
Denis Suárez,ram,18,0.444,0.450,1.67,0.056,0.389,0.212,0.00,0.400,0.78,0.375,62.821
L. Digne,rb,12,0.632,0.531,5.08,1.167,1.000,0.556,0.25,0.500,3.58,0.609,66.837
K. Benzema,rs,32,0.391,0.393,1.69,0.562,0.594,0.131,0.03,0.375,1.34,0.237,65.111
Daniel Carvajal,lb,28,0.540,0.488,8.00,0.786,1.714,0.622,0.36,0.480,4.68,0.543,72.028
Marcelo,rb,32,0.487,0.373,5.50,0.625,0.969,0.476,0.31,0.320,3.66,0.517,70.124
Nacho,lcb,29,0.528,0.533,5.69,1.241,1.310,0.491,0.41,0.519,3.24,0.645,71.394
Isco,ram,34,0.415,0.367,3.18,0.059,0.618,0.265,0.15,0.450,0.97,0.448,67.593
Guilherme,cm,31,0.473,0.495,8.45,1.419,1.903,0.526,0.26,0.304,5.81,0.579,71.633
Juanfran,lb,35,0.447,0.608,7.37,2.314,0.600,0.570,0.34,0.370,5.94,0.533,74.278
Luisinho,rb,30,0.527,0.443,8.80,2.800,1.533,0.753,1.93,0.534,4.83,0.667,78.699
Rubén,gk,28,0.412,0.625,0.07,0.107,0.107,0.000,0.00,0.400,1.14,0.400,63.857
Casemiro,cm,34,0.509,0.591,9.74,0.971,1.882,0.576,0.88,0.533,6.79,0.596,76.816
Pedro Mosquera,rcm,23,0.467,0.456,7.26,1.043,1.435,0.500,0.43,0.360,3.87,0.583,68.739
Sidnei,rb,21,0.612,0.553,5.67,2.952,0.667,0.614,0.29,0.381,5.67,0.654,70.590
Fede Cartabia,lam,20,0.500,0.347,5.35,0.100,1.150,0.690,0.80,0.387,2.70,0.269,67.795
C. Borges,lcm,35,0.515,0.650,5.17,0.571,1.000,0.488,0.37,0.536,4.23,0.500,73.120
K. Navas,gk,30,0.474,0.591,0.13,0.367,0.033,0.134,0.03,0.438,1.43,0.400,65.857
Z. Bakkali,rw,23,0.405,0.333,2.57,0.217,0.696,0.123,0.17,0.474,0.96,0.400,63.951
Bruno Gama,ram,5,0.375,0.353,3.40,0.400,1.000,0.042,0.40,0.412,0.00,0.400,62.806
Adrián López,rw,30,0.402,0.527,3.57,0.900,0.533,0.186,0.10,0.389,2.70,0.308,66.900
Marco Asensio,cam,35,0.482,0.417,2.00,0.057,0.257,0.209,0.06,0.353,1.00,0.269,67.510
Marcos Llorente,lcm,13,0.508,0.488,3.85,0.385,0.462,0.434,0.15,0.471,1.85,0.400,64.745
Borja Valle,st,17,0.535,0.289,1.65,0.235,0.824,0.362,0.18,0.389,0.71,0.350,63.673
E. Garay,lb,24,0.486,0.633,4.00,4.250,0.917,0.453,0.12,0.444,6.71,0.609,69.504
Nacho Vidal,lb,7,0.429,0.464,8.86,1.429,0.857,0.483,1.00,0.455,4.86,0.438,66.307
Rúben Vezo,lcb,19,0.512,0.646,7.95,2.842,1.211,0.616,0.21,0.421,5.26,0.640,69.762
José Gayá,rb,34,0.521,0.514,6.44,1.853,1.059,0.560,0.44,0.500,5.00,0.533,74.210
L. Chichizola,gk,27,0.375,0.657,0.33,0.926,0.074,0.000,0.07,0.353,2.78,0.400,63.984
Bigas,rb,11,0.538,0.545,5.73,2.273,1.091,0.477,0.55,0.429,5.45,0.609,66.718
Rodrigo,st,40,0.341,0.452,1.82,0.275,0.650,0.000,0.23,0.333,1.00,0.196,66.720
Dani Castellano,rb,24,0.472,0.547,7.67,1.792,0.750,0.461,0.25,0.429,5.88,0.560,70.217
J. Calleri,st,37,0.431,0.526,3.11,0.595,1.865,0.229,0.51,0.412,1.54,0.083,69.045
Jonathan Viera,cam,23,0.407,0.367,5.43,0.043,1.043,0.272,0.22,0.450,1.87,0.241,65.607
Medrán,cm,18,0.378,0.421,5.33,0.500,1.167,0.368,0.61,0.423,1.67,0.440,65.370
David Simón,lb,11,0.582,0.410,8.64,0.909,1.364,0.584,0.64,0.500,4.09,0.435,67.703
Carlos Soler,lam,33,0.420,0.386,5.82,0.424,1.576,0.397,0.36,0.444,2.03,0.273,69.411
Dani Parejo,cm,34,0.458,0.530,7.91,0.500,1.412,0.617,1.32,0.433,3.79,0.484,75.410
Tana,lcm,24,0.492,0.267,4.88,0.167,0.458,0.431,0.04,0.438,2.17,0.280,66.676
A. Halilović,lam,20,0.489,0.250,1.60,0.400,0.450,0.025,0.10,0.412,1.15,0.368,63.196
Ximo Navarro,rcb,31,0.506,0.589,7.35,3.290,0.968,0.561,0.65,0.457,6.00,0.633,74.985
Vitolo,cam,23,0.420,0.464,4.52,0.261,1.087,0.406,0.17,0.474,2.22,0.273,65.909
Neto,gk,33,0.389,0.667,0.09,0.212,0.061,0.000,0.00,0.400,0.82,0.400,65.028
Nacho Gil,rs,20,0.455,0.447,4.75,0.200,0.950,0.393,0.15,0.333,1.60,0.296,65.050
Santi Mina,rs,32,0.325,0.405,2.12,0.500,0.750,0.000,0.62,0.286,1.44,0.237,65.281
S. Araújo,st,2,0.471,0.412,1.00,0.000,0.000,1.000,0.50,0.438,0.00,0.400,63.561
Javi Castellano,cm,23,0.532,0.552,4.83,0.565,0.652,0.487,0.48,0.500,4.22,0.531,69.261
Míchel,lb,28,0.446,0.533,5.79,1.143,1.393,0.451,0.29,0.391,3.50,0.594,69.092
N. Maksimović,lcm,15,0.507,0.490,3.87,0.600,0.267,0.307,0.13,0.412,3.00,0.478,64.983
Rubén Sobrino,ls,28,0.414,0.494,4.89,0.321,1.429,0.353,0.18,0.500,1.82,0.258,67.224
Alexis,lcb,28,0.409,0.581,4.18,2.607,0.821,0.209,0.89,0.525,5.36,0.690,70.663
Rubén Pérez,lcm,31,0.509,0.619,8.26,1.097,1.387,0.615,0.87,0.452,7.19,0.516,75.008
C. Santos,st,10,0.485,0.477,1.80,0.300,1.600,0.222,0.10,0.375,1.20,0.308,62.223
Ibai Gómez,lam,34,0.384,0.333,3.24,0.412,0.471,0.210,0.03,0.438,2.12,0.286,66.944
Alfonso Pedraza,ram,33,0.484,0.435,6.12,0.758,1.394,0.465,0.55,0.515,3.03,0.400,71.976
Rodrigo Ely,rcb,31,0.550,0.729,4.03,3.548,0.968,0.548,0.58,0.545,6.71,0.750,74.402
Carlos Vigaray,lb,12,0.495,0.488,7.17,1.250,1.667,0.569,0.75,0.333,2.33,0.412,66.409
Diego Rico,rb,26,0.548,0.533,8.96,1.615,1.500,0.731,0.73,0.471,6.62,0.714,74.044
M. Mantovani,rcb,14,0.522,0.629,3.71,3.357,1.214,0.502,0.79,0.423,6.29,0.609,67.569
E. Muñoz,lcb,19,0.669,0.655,5.74,2.789,1.000,0.550,0.26,0.500,4.58,0.750,70.682
Zaldúa,lb,30,0.546,0.655,8.90,2.100,1.500,0.683,0.60,0.364,4.93,0.676,74.931
Omar Ramos,cam,23,0.398,0.482,3.83,0.609,0.609,0.259,0.04,0.375,3.09,0.304,64.884
Gabriel,rcm,29,0.460,0.570,8.10,0.621,1.966,0.649,1.52,0.356,4.52,0.405,73.797
Guerrero,st,22,0.381,0.583,2.18,0.682,1.545,0.119,0.09,0.471,1.59,0.194,63.253
Fernando Pacheco,gk,38,0.438,0.625,0.03,0.263,0.053,1.000,0.00,0.400,1.34,0.400,69.703
Eraso,cam,34,0.467,0.400,4.91,0.294,1.059,0.426,0.06,0.471,2.12,0.435,69.604
M. Wakaso,rcm,21,0.444,0.500,6.14,0.714,1.571,0.461,0.81,0.375,3.43,0.500,67.922
Burgui,ram,23,0.464,0.303,1.78,0.000,0.478,0.156,0.04,0.375,0.83,0.292,63.492
Manu García,cm,30,0.472,0.613,10.10,1.767,2.300,0.630,0.80,0.462,4.60,0.576,74.584
A. Szymanowski,ram,13,0.403,0.345,4.00,0.231,1.538,0.348,0.31,0.316,3.62,0.333,62.899
Cuéllar,gk,35,0.429,0.707,0.17,0.571,0.114,0.000,0.03,0.438,2.20,0.400,66.805
Tomás Pina,cm,30,0.464,0.563,6.97,0.833,2.400,0.517,0.47,0.414,4.90,0.600,70.759
Óscar Romero,lam,5,0.378,0.519,4.40,0.600,1.400,0.336,0.20,0.375,1.60,0.353,63.210
Erik Morán,cm,6,0.438,0.471,2.83,0.000,0.500,0.420,0.17,0.375,1.00,0.438,63.118
N. El Zhar,lam,30,0.376,0.418,2.87,0.100,1.000,0.082,0.17,0.400,1.90,0.194,65.004
Héctor,rb,1,0.444,0.400,3.00,1.000,0.000,1.000,0.00,0.400,2.00,0.400,64.244
Bustinza,lb,20,0.521,0.529,6.55,2.200,1.400,0.468,1.45,0.568,5.45,0.697,71.839
C. Bakambu,st,15,0.348,0.429,4.93,1.467,3.000,0.241,0.07,0.375,2.53,0.195,62.281
Rúben Semedo,lcb,4,0.452,0.520,4.00,2.000,0.250,0.565,0.00,0.400,4.25,0.400,62.600
Samu Castillejo,lam,30,0.364,0.410,8.10,0.433,1.467,0.285,0.27,0.391,3.47,0.400,68.744
M. Barbosa,gk,13,0.400,0.500,0.00,0.385,0.000,1.000,0.00,0.400,1.46,0.400,62.975
E. Zidane,cm,2,0.476,0.364,3.00,0.000,0.000,0.646,0.00,0.400,0.50,0.353,63.353
Paulinho,lcm,39,0.491,0.471,3.85,0.256,0.846,0.388,0.23,0.500,1.72,0.368,71.611
Sergio García,st,33,0.416,0.337,1.88,0.242,0.667,0.196,0.06,0.412,1.18,0.273,65.859
Tito,lb,9,0.333,0.538,7.00,0.889,1.000,0.111,1.11,0.520,3.33,0.591,65.226
M. Dos Santos,lcb,14,0.549,0.590,5.43,2.643,0.714,0.684,0.36,0.500,4.50,0.474,67.993
Óscar Melendo,cam,18,0.477,0.355,1.61,0.056,0.333,0.278,0.00,0.400,0.39,0.353,63.049
Gumbau,rcm,24,0.444,0.534,5.67,0.958,1.833,0.381,0.38,0.417,2.79,0.565,67.506
E. Çolak,cam,26,0.484,0.250,3.08,0.038,0.885,0.210,0.31,0.391,0.73,0.321,65.597
D. Godín,rb,35,0.578,0.659,6.34,3.114,1.486,0.626,0.46,0.516,4.97,0.766,76.422
Thomas,lcm,33,0.488,0.630,6.06,0.697,1.242,0.515,0.42,0.379,4.30,0.405,71.950
Hernán,lcm,7,0.511,0.483,4.57,0.143,1.143,0.490,0.00,0.400,1.29,0.438,63.730
Fabio González,lcm,1,0.348,0.412,8.00,3.000,2.000,1.000,2.00,0.412,6.00,0.400,64.899
Momo,ram,13,0.413,0.379,3.69,0.077,0.462,0.045,0.00,0.400,1.08,0.421,62.375
Benito Ramírez,ram,4,0.324,0.381,4.75,0.500,0.750,0.000,0.25,0.375,1.00,0.412,61.403
Álex Mula,cam,11,0.479,0.387,3.00,0.091,0.545,0.373,0.45,0.350,1.64,0.421,63.684
E. Cecchini,lcm,3,0.391,0.400,2.67,0.333,1.333,0.871,1.00,0.444,1.00,0.400,63.045
Douglas Luiz,cm,14,0.414,0.448,3.07,0.000,1.000,0.184,0.07,0.438,0.57,0.300,62.445
Juanpe,rcb,35,0.542,0.685,5.63,2.829,1.429,0.481,0.09,0.444,5.51,0.750,73.855
G. Kondogbia,cm,31,0.511,0.580,8.55,1.387,1.871,0.626,0.77,0.333,5.74,0.514,74.034
J. Murillo,rcb,17,0.573,0.685,5.18,2.765,0.941,0.478,0.47,0.522,6.59,0.700,69.359
Toni Lato,rb,16,0.473,0.405,5.94,0.500,0.625,0.498,0.62,0.480,2.69,0.524,66.952
Montoya,lb,25,0.492,0.620,9.80,1.880,1.520,0.526,1.24,0.565,5.52,0.676,74.749
Borja Mayoral,st,14,0.552,0.500,1.00,0.000,0.214,0.402,0.07,0.375,0.36,0.375,63.506
G. Mercado,lb,29,0.551,0.602,7.86,1.448,1.586,0.616,0.62,0.576,5.07,0.725,74.326
Sergio Escudero,rb,27,0.533,0.645,10.15,1.407,1.407,0.601,1.52,0.554,6.00,0.725,77.026
Antunes,rb,34,0.496,0.529,7.44,1.382,1.529,0.560,0.68,0.500,5.38,0.725,74.762
M. Krohn-Dehli,cm,25,0.427,0.375,3.52,0.280,0.480,0.125,0.20,0.500,1.84,0.381,65.690
N. Pareja,lb,5,0.485,0.583,10.20,2.400,2.200,0.515,0.80,0.474,5.20,0.550,66.248
W. Ben Yedder,st,25,0.377,0.276,2.16,0.040,0.760,0.110,0.00,0.400,0.84,0.194,62.732
